"","color_position","Participant_ID","Condition","condition_str","participant_number","trials_gen.thisTrialN","gen_response_color_index_in_orig_colorbar_space","gen_response_distance_idx","gen_response_distance_dE","gen_signed_distance_idx","trial_within_test_color","idx_for_graph","exemplar_position","color_to_prototype_distance_idx","color_to_prototype_de"
"155",123,"SU23_1001",2,"Dark Far",1001,64,133,10,5.99478199606687,10,4,125,93,30,15
"156",52,"SU23_1001",2,"Dark Far",1001,65,78,26,15.2007663121417,26,4,54,52,0,0
"157",251,"SU23_1001",2,"Dark Far",1001,66,250,1,2.1411228555766,-1,4,253,226,25,15
"158",226,"SU23_1001",2,"Dark Far",1001,67,221,5,1.72364976891318,-5,4,228,226,0,0
"159",146,"SU23_1001",2,"Dark Far",1001,68,145,1,0.513656343494712,-1,4,148,158,-12,7
"160",170,"SU23_1001",2,"Dark Far",1001,69,169,1,0.421105166903395,-1,4,172,158,12,7
"161",241,"SU23_1001",2,"Dark Far",1001,70,227,14,6.73168117382536,-14,4,243,226,15,7
"162",76,"SU23_1001",2,"Dark Far",1001,71,85,9,5.03837361839556,9,4,78,93,-17,7
"163",185,"SU23_1001",2,"Dark Far",1001,72,197,12,4.35516942630785,12,5,189,158,27,15
"164",93,"SU23_1001",2,"Dark Far",1001,73,87,6,3.40099350156045,-6,5,97,93,0,0
"165",108,"SU23_1001",2,"Dark Far",1001,74,113,5,3.12888402816673,5,5,112,93,15,7
"166",158,"SU23_1001",2,"Dark Far",1001,75,172,14,6.08593293761055,14,5,162,158,0,0
"167",241,"SU23_1001",2,"Dark Far",1001,76,235,6,3.1642685642444,-6,5,245,226,15,7
"168",10,"SU23_1001",2,"Dark Far",1001,77,9,1,0.992418584055833,-1,5,14,52,-42,15
"169",93,"SU23_1001",2,"Dark Far",1001,78,92,1,0.572264364162911,-1,6,99,93,0,0
"170",52,"SU23_1001",2,"Dark Far",1001,79,65,13,7.85059816530783,13,5,56,52,0,0
"171",133,"SU23_1001",2,"Dark Far",1001,80,148,15,8.0761356887102,15,5,137,158,-25,15
"172",146,"SU23_1001",2,"Dark Far",1001,81,157,11,5.34010092787131,11,5,150,158,-12,7
"173",72,"SU23_1001",2,"Dark Far",1001,82,97,25,14.0216237785508,25,5,76,52,20,7
"174",76,"SU23_1001",2,"Dark Far",1001,83,95,19,10.6640941241316,19,5,80,93,-17,7
"175",29,"SU23_1001",2,"Dark Far",1001,84,36,7,4.6749024913049,7,5,33,52,-23,7
"176",226,"SU23_1001",2,"Dark Far",1001,85,228,2,0.782991355359103,2,5,230,226,0,0
"177",203,"SU23_1001",2,"Dark Far",1001,86,187,16,5.63270479716113,-16,5,207,226,-23,15
"178",185,"SU23_1001",2,"Dark Far",1001,87,177,8,3.11289988996415,-8,6,191,158,27,15
"179",52,"SU23_1001",2,"Dark Far",1001,88,65,13,7.85059816530783,13,6,58,52,0,0
"180",170,"SU23_1001",2,"Dark Far",1001,89,170,0,0,0,5,174,158,12,7
"181",10,"SU23_1002",1,"Light Far",1002,0,20,10,5.34857356,10,1,6,52,-42,15
"182",203,"SU23_1002",1,"Light Far",1002,1,195,8,4.897914951,-8,1,199,226,-23,15
"183",158,"SU23_1002",1,"Light Far",1002,2,131,27,16.45306473,-27,1,154,158,0,0
"184",29,"SU23_1002",1,"Light Far",1002,3,11,18,8.705657881,-18,1,25,52,-23,7
"185",10,"SU23_1002",1,"Light Far",1002,4,2,8,12.70272157,-8,2,8,52,-42,15
"186",123,"SU23_1002",1,"Light Far",1002,5,56,67,28.57474675,-67,1,119,93,30,15
"187",203,"SU23_1002",1,"Light Far",1002,6,202,1,0.625461918,-1,2,201,226,-23,15
"188",158,"SU23_1002",1,"Light Far",1002,7,144,14,8.485260483,-14,2,156,158,0,0
"189",52,"SU23_1002",1,"Light Far",1002,8,55,3,1.004862256,3,1,48,52,0,0
"190",185,"SU23_1002",1,"Light Far",1002,9,139,46,25.99994357,-46,1,181,158,27,15
"191",146,"SU23_1002",1,"Light Far",1002,10,120,26,15.81000007,-26,1,142,158,-12,7
"192",251,"SU23_1002",1,"Light Far",1002,11,247,4,4.731774622,-4,1,247,226,25,15
"193",216,"SU23_1002",1,"Light Far",1002,12,211,5,3.303821172,-5,1,212,226,-10,7
"194",76,"SU23_1002",1,"Light Far",1002,13,92,16,6.659316522,16,1,72,93,-17,7
"195",108,"SU23_1002",1,"Light Far",1002,14,96,12,5.748043842,-12,1,104,93,15,7
"196",226,"SU23_1002",1,"Light Far",1002,15,224,2,1.327243278,-2,1,222,226,0,0
"197",241,"SU23_1002",1,"Light Far",1002,16,224,17,8.050050219,-17,1,237,226,15,7
"198",185,"SU23_1002",1,"Light Far",1002,17,153,32,17.97712622,-32,2,183,158,27,15
"199",108,"SU23_1002",1,"Light Far",1002,18,93,15,7.08976499,-15,2,106,93,15,7
"200",216,"SU23_1002",1,"Light Far",1002,19,224,8,5.349480563,8,2,214,226,-10,7
"201",72,"SU23_1002",1,"Light Far",1002,20,56,16,5.802327819,-16,1,68,52,20,7
"202",93,"SU23_1002",1,"Light Far",1002,21,86,7,3.033557981,-7,1,89,93,0,0
"203",72,"SU23_1002",1,"Light Far",1002,22,50,22,7.790464502,-22,2,70,52,20,7
"204",146,"SU23_1002",1,"Light Far",1002,23,115,31,18.56400153,-31,2,144,158,-12,7
"205",170,"SU23_1002",1,"Light Far",1002,24,140,30,17.56620352,-30,1,166,158,12,7
"206",52,"SU23_1002",1,"Light Far",1002,25,43,9,2.865454863,-9,2,50,52,0,0
"207",133,"SU23_1002",1,"Light Far",1002,26,119,14,8.324725028,-14,1,129,158,-25,15
"208",93,"SU23_1002",1,"Light Far",1002,27,74,19,7.876603942,-19,2,91,93,0,0
"209",251,"SU23_1002",1,"Light Far",1002,28,248,3,3.647131057,-3,2,249,226,25,15
"210",226,"SU23_1002",1,"Light Far",1002,29,227,1,0.657885287,1,2,224,226,0,0
"211",76,"SU23_1002",1,"Light Far",1002,30,47,29,10.28104532,-29,2,74,93,-17,7
"212",123,"SU23_1002",1,"Light Far",1002,31,102,21,11.07296553,-21,2,121,93,30,15
"213",241,"SU23_1002",1,"Light Far",1002,32,166,75,39.55082158,-75,2,239,226,15,7
"214",29,"SU23_1002",1,"Light Far",1002,33,7,22,11.22763424,-22,2,27,52,-23,7
"215",170,"SU23_1002",1,"Light Far",1002,34,182,12,6.727518605,12,2,168,158,12,7
"216",133,"SU23_1002",1,"Light Far",1002,35,156,23,14.1143061,23,2,131,158,-25,15
"217",216,"SU23_1002",1,"Light Far",1002,36,197,19,12.10794006,-19,3,216,226,-10,7
"218",29,"SU23_1002",1,"Light Far",1002,37,17,12,5.51836798,-12,3,29,52,-23,7
"219",76,"SU23_1002",1,"Light Far",1002,38,43,33,11.50105803,-33,3,76,93,-17,7
"220",10,"SU23_1002",1,"Light Far",1002,39,0,10,18.51464822,-10,3,10,52,-42,15
"221",203,"SU23_1002",1,"Light Far",1002,40,185,18,10.72625402,-18,3,203,226,-23,15
"222",216,"SU23_1002",1,"Light Far",1002,41,185,31,19.08634785,-31,4,218,226,-10,7
"223",93,"SU23_1002",1,"Light Far",1002,42,84,9,3.871221661,-9,3,93,93,0,0
